time_est,open,high,low,close
08:46,4446.955,4447.885,4445.365,4445.795
08:47,4445.775,4446.575,4444.465,4446.185
08:48,4446.155,4448.715,4446.155,4447.825
08:49,4447.835,4449.598,4446.755,4446.755
08:50,4446.715,4447.725,4445.715,4447.425
08:51,4447.505,4450.225,4447.115,4449.425
08:52,4449.345,4450.595,4448.945,4450.535
08:53,4450.565,4451.915,4449.635,4449.745
08:54,4449.715,4450.485,4448.405,4448.645
08:55,4448.685,4450.295,4446.865,4447.115
08:56,4447.135,4452.655,4447.135,4452.285
08:57,4452.305,4452.865,4451.165,4452.785
08:58,4452.805,4452.895,4451.635,4452.325
08:59,4452.398,4452.895,4451.848,4452.648
09:00,4452.655,4453.265,4449.505,4452.165
09:01,4452.115,4452.695,4450.105,4452.605
09:02,4452.605,4453.485,4450.505,4450.915
09:03,4450.885,4453.935,4450.685,4453.925
09:04,4453.905,4454.095,4451.945,4452.335
09:05,4452.285,4452.285,4450.515,4451.665
09:06,4451.695,4452.645,4449.395,4450.835
09:07,4450.885,4453.415,4450.255,4453.035
09:08,4453.065,4453.735,4450.715,4450.735
09:09,4450.855,4451.145,4448.215,4448.415
09:10,4448.485,4450.445,4447.785,4448.955
09:11,4448.925,4450.305,4448.645,4448.925
09:12,4448.885,4449.965,4448.155,4449.785
09:13,4449.815,4451.525,4448.805,4449.155
09:14,4449.175,4449.675,4446.809,4446.895
09:15,4446.889,4452.705,4446.515,4452.555
09:16,4452.695,4453.295,4448.245,4448.245
09:17,4448.205,4450.115,4447.905,4448.985
09:18,4448.965,4450.405,4447.965,4450.305
09:19,4450.335,4451.025,4449.485,4449.535
09:20,4449.575,4449.575,4445.875,4445.955
09:21,4446.005,4446.685,4443.625,4443.715
09:22,4443.775,4445.265,4443.125,4444.905
09:23,4444.885,4446.045,4442.718,4445.175
09:24,4445.245,4448.095,4444.255,4445.285
09:25,4445.245,4446.265,4443.435,4443.485
09:26,4443.455,4445.055,4442.985,4444.605
09:27,4444.575,4444.575,4442.495,4442.765
09:28,4442.745,4445.648,4442.465,4445.648
09:29,4445.718,4446.048,4444.075,4444.365
09:30,4444.239,4449.665,4440.435,4449.665
09:31,4449.655,4450.148,4446.748,4447.885
09:32,4448.315,4448.425,4443.395,4444.465
09:33,4444.435,4449.305,4444.155,4449.065
09:34,4449.115,4449.765,4447.295,4449.245
09:35,4449.155,4452.055,4448.795,4450.245
09:36,4450.265,4450.325,4441.875,4442.005
09:37,4441.985,4441.985,4436.605,4438.135
09:38,4438.105,4439.385,4435.485,4439.015
09:39,4438.905,4443.195,4437.795,4440.885
09:40,4440.845,4443.415,4440.485,4442.185
09:41,4442.115,4445.745,4442.115,4442.995
09:42,4442.955,4442.955,4439.435,4439.555
09:43,4439.625,4445.675,4439.445,4445.485
09:44,4445.318,4445.735,4443.195,4443.935
09:45,4444.005,4447.075,4440.925,4440.925
09:46,4440.945,4444.855,4440.895,4444.425
09:47,4444.755,4447.085,4441.875,4443.045
09:48,4442.975,4443.515,4440.615,4443.035
09:49,4443.065,4445.025,4441.795,4442.565
09:50,4442.595,4443.855,4440.595,4441.735
09:51,4441.865,4443.475,4441.065,4443.375
09:52,4443.415,4449.335,4443.395,4449.095
09:53,4449.045,4449.915,4446.435,4447.095
09:54,4447.085,4448.525,4446.085,4446.435
09:55,4446.415,4451.255,4445.885,4450.898
09:56,4450.905,4452.848,4450.259,4450.748
09:57,4450.648,4451.848,4448.785,4448.905
09:58,4448.875,4449.605,4445.215,4445.398
09:59,4445.235,4445.698,4444.055,4444.548
10:00,4444.548,4444.548,4439.415,4439.725
10:01,4439.725,4442.665,4438.695,4440.635
10:02,4440.595,4441.405,4437.715,4437.965
10:03,4438.025,4441.735,4437.835,4441.515
10:04,4441.495,4442.885,4439.635,4441.145
10:05,4441.475,4444.095,4439.835,4443.305
10:06,4442.945,4444.385,4441.255,4443.495
10:07,4443.525,4444.045,4439.795,4439.795
10:08,4439.755,4444.155,4439.495,4443.725
10:09,4443.685,4444.205,4440.595,4441.139
10:10,4441.125,4442.059,4436.385,4436.735
10:11,4436.745,4437.025,4431.925,4432.695
10:12,4432.685,4433.315,4430.325,4431.765
10:13,4431.935,4433.525,4430.355,4432.665
10:14,4432.599,4432.695,4426.305,4426.475
10:15,4426.505,4429.885,4425.375,4427.795
10:16,4427.855,4428.055,4423.785,4425.755
10:17,4425.765,4427.895,4423.135,4423.265
10:18,4423.275,4426.435,4423.215,4426.415
10:19,4426.455,4426.995,4424.135,4424.798
10:20,4424.798,4430.855,4424.265,4430.855
10:21,4430.675,4431.448,4429.145,4431.248
10:22,4431.248,4432.555,4429.525,4430.035
10:23,4430.005,4431.745,4427.548,4431.525
10:24,4431.525,4431.655,4429.915,4430.485
10:25,4430.465,4434.735,4430.465,4434.595
10:26,4434.575,4435.335,4433.585,4434.095
10:27,4434.195,4437.655,4434.195,4437.655
10:28,4437.635,4438.675,4437.015,4438.615
10:29,4438.645,4442.415,4437.995,4442.005
10:30,4441.985,4444.195,4441.985,4444.045
10:31,4444.025,4448.005,4443.925,4445.415
10:32,4445.485,4449.695,4445.395,4449.645
10:33,4449.615,4449.795,4447.415,4448.105
10:34,4448.045,4449.265,4446.785,4448.555
10:35,4448.595,4450.245,4447.805,4447.925
10:36,4447.955,4451.155,4447.415,4450.815
10:37,4450.865,4452.055,4448.315,4449.095
10:38,4449.315,4449.355,4445.525,4446.045
10:39,4446.295,4448.645,4445.285,4448.275
10:40,4448.315,4449.135,4446.085,4446.365
10:41,4446.415,4446.705,4445.035,4445.955
10:42,4446.005,4446.125,4444.845,4445.465
10:43,4445.445,4447.625,4445.445,4446.235
10:44,4446.205,4446.205,4441.655,4441.785
10:45,4441.835,4444.235,4440.945,4443.845
10:46,4443.825,4444.915,4441.305,4441.485
10:47,4441.465,4442.565,4440.145,4441.705
10:48,4441.665,4443.255,4441.485,4442.455
